Name,Property,Tags,URL,Время на чтение,Описание,Раздел
Наставничество,Done,Профессиональные навыки,https://www.mindtools.com/community/pages/article/newCDV_70.php,5 минут,Незаменимый лидерский навык,Наставничество и коучинг
"Слова, используемые в ... Управление проектами и программами",Not started,Проектное управление,https://www.mindtools.com/community/pages/article/newPPM_Words.php,12 минут,,
Эмоциональный интеллект,Not started,,https://www.mindtools.com/community/pages/article/newCDV_59.php,10 минут,Эмоциональный интеллект,Эффективные рабочие отношения
Как дизайн-мышление помогает проживать пользовательский опыт и находить инновационные решения + 12 полезных инструментов,Not started,Креативность,https://sense23.com/post/kak-dizajn-myshlenie-pomogaet-prozhivat-polzovatelskij-opyt-i-nahodit-innovatsionnye-resheniya-12-poleznyh-instrumentov,15 минут,Статья,Инструменты
5 почему,Not started,Решение проблем,https://www.mindtools.com/community/pages/article/newTMC_5W.php,10 минут,Быстро добраться до корня проблемы,Инструменты
Что такое управление проектами?,Not started,Проектное управление,https://www.mindtools.com/community/pages/article/newPPM_00__ru__.php,7 минут,Управление сложными задачами и людьми,
Глубинное интервью: ЧТО и ЗАЧЕМ,Not started,CX,,,,
Как проектировать нужное поведение NUDGING,Not started,"Поведенческая экономика, Принятие решений",,," практический гайд от Rotman School of Management, University of Toronto",Мышление
Гайд: разобраться в юнит-экономике за один день,Not started,Unit экономика,https://vc.ru/finance/48822-gayd-razobratsya-v-yunit-ekonomike-za-odin-den,,нужно доделать,
Креативное комьюнити: блог,Not started,CX,https://medium.com/creative-community,,о понимании и проектировании клиентского опыта,
Сбор информации,Done,Навыки обучения,https://www.mindtools.com/community/pages/article/newLDR_03__en__.php,7 минут,Информация — это вдохновение,Более эффективное чтение
Bard VS ChatGPT,Not started,Искусственный интеллект,,,,Инструменты
Искусство системного мышления,Not started,Принятие решений,,10 минут,,Мышление
Матрица Росситера-Перси,Not started,CustDev,,5 минут,,CustDev
Модель Кларка Фишера,Not started,"Модели, Стратегия",,,,
Диффузия инноваций,Not started,,,,,
Проблемы нефасилитируемых совещаний,Not started,Решение проблем,,,,
