Name,Tags,Property,URL,Время на чтение,Описание,Раздел
Что такое управление проектами?,Проектное управление,Not started,https://www.mindtools.com/community/pages/article/newPPM_00__ru__.php,7 минут,Управление сложными задачами и людьми,
Гибкое управление проектами,Проектное управление,Not started,https://www.mindtools.com/community/pages/article/agile-project-management__ru__.php,10 минут,Организация гибких проектов,
Программный менеджмент,Проектное управление,Not started,https://www.mindtools.com/community/pages/article/newPPM_55__ru__.php,10 минут,Структурирование проектов как части программы,
Железный треугольник управления проектами,Проектное управление,Not started,https://www.mindtools.com/community/pages/article/newPPM_54.php,10 минут,"Баланс вашего бюджета, объема и графика
(Также известный как тройные ограничения управления проектами)",
"Слова, используемые в ... Управление проектами и программами",Проектное управление,Not started,https://www.mindtools.com/community/pages/article/newPPM_Words.php,12 минут,,
Цикл планирования,Проектное управление,Not started,,,Процесс планирования для средних проектов,
Фазы и процессы управления проектом,Проектное управление,Not started,https://www.mindtools.com/community/pages/article/newPPM_63.php,12 минут,Структурирование вашего проекта,
Как написать краткое описание дизайна,Проектное управление,Not started,,,Хорошее начало вашего дизайн-проекта,
Анализ расхождений,Проектное управление,Not started,,,Достижение своего идеального будущего состояния,
Планы действий,Проектное управление,Not started,https://www.mindtools.com/community/pages/article/newHTE_04__ru__.php,5 минут,Мелкомасштабное планирование,Планирование
Анализ заинтересованных сторон,Проектное управление,Done,https://www.mindtools.com/community/pages/article/newPPM_07.php,15 минут,Поддержка ваших проектов,Коммуникация и делегирование
Как дизайн-мышление помогает проживать пользовательский опыт и находить инновационные решения + 12 полезных инструментов,Креативность,Not started,https://sense23.com/post/kak-dizajn-myshlenie-pomogaet-prozhivat-polzovatelskij-opyt-i-nahodit-innovatsionnye-resheniya-12-poleznyh-instrumentov,15 минут,Статья,Инструменты
Управление знаниями,Навыки обучения,Not started,https://www.mindtools.com/community/pages/article/newISS_87__ru__.php,7 минут,Максимальное использование интеллектуальных активов,Формирование среды обучения
Сбор информации,Навыки обучения,Done,https://www.mindtools.com/community/pages/article/newLDR_03__en__.php,7 минут,Информация — это вдохновение,Более эффективное чтение
Эмоциональный интеллект,,Not started,https://www.mindtools.com/community/pages/article/newCDV_59.php,10 минут,Эмоциональный интеллект,Эффективные рабочие отношения
Культурная сеть,,Not started,https://www.mindtools.com/community/pages/article/newSTR_90.php,10 минут,Согласование культуры вашей организации со стратегией,Понимание культуры
Развитие коммерческой осведомленности,,Not started,https://www.mindtools.com/community/pages/article/developing-commercial-awareness.php,10 минут,"Понимание того, как бизнес зарабатывает деньги",Общие профессиональные навыки
Структура конкурирующих ценностей,,Done,https://www.mindtools.com/community/pages/article/newSTR_55.php,12 минут,Анализ корпоративной культуры,Понимание культуры
Как проектировать нужное поведение NUDGING,"Поведенческая экономика, Принятие решений",Not started,,," практический гайд от Rotman School of Management, University of Toronto",Мышление
10 распространенных ошибок лидерства и менеджмента,📯Лидерство,Not started,https://www.mindtools.com/community/pages/article/leadership-mistakes.php,,"Опыт — это имя, которое каждый дает своим ошибкам.- Оскар Уальд",
Почему инфографика так эффективна?,Коммуникативные навыки,Not started,,,,Визуальное мышление
CJM,CustDev,Not started,,,,"CJM, CustDev"
Исследование развития маркетинговой аналитики в СНГ,,Not started,,,,
Документы по инициированию проекта,,Not started,,,Хорошее начало вашего проекта,
Модель DiSC®,Управление командой,Done,https://www.mindtools.com/community/pages/article/newCDV_92.php,7 минут,Понимание личных стилей людей,Карьерные тесты
Наставничество,Профессиональные навыки,Done,https://www.mindtools.com/community/pages/article/newCDV_70.php,5 минут,Незаменимый лидерский навык,Наставничество и коучинг
Решение конфликта,📯Лидерство,Not started,,,8 способов разрешить конфликт на рабочем месте,
Управление конференциями и мероприятиями,,Not started,,,,
15 способов зарабатывать больше на своей известности,Коммуникативные навыки,Not started,https://t.me/s/tyzhexpert,,,
,,Not started,,,,
Проблемы нефасилитируемых совещаний,Решение проблем,Not started,,,,
